"Year","x","nWx","nNx_total","nLx","B"
1935,53,603447.93,1254985.37,75404,20.7
1935,54,583354,1212159.51,74449,13.46
1935,55,564104.98,1170759.19,73454,0
1935,56,545058.43,1129448.12,72417,NA
1935,57,525514.4,1086925.52,71332,NA
1935,58,504974.26,1042349.02,70187,NA
1935,59,483678.68,996304.79,68972,NA
1935,60,462193.86,949917.42,67675,NA
1935,61,440987.17,904148.08,66290,NA
1935,62,420336.18,859813.72,64813,NA
1935,63,400179.63,817035.91,63240,NA
1935,64,380158.77,775037.82,61569,NA
1935,65,360206.99,733415.99,59795,NA
1935,66,340439.64,692088.85,57920,NA
1935,67,320410.63,650054.25,55944,NA
1935,68,299888.52,606738.29,53870,NA
1935,69,279230.66,562896,51696,NA
1935,70,258712.92,519317.15,49426,NA
1935,71,238564.43,476665.21,47058,NA
1935,72,219378.62,436339.21,44593,NA
1935,73,201734.05,399655.93,42040,NA
1935,74,185461.15,366170.48,39413,NA
1935,75,176601.81,347139.76,36774,NA
1935,76,159360.01,312065.46,34133,NA
1935,77,142074.21,276910.24,31450,NA
1935,78,125227.4,242627.78,28752,NA
1935,79,108999.42,209750.55,26070,NA
1935,80,97203.12,183579.18,23480,NA
1935,81,82774.23,155020.2,21000,NA
1935,82,70068.36,129964.42,18596,NA
1935,83,59005.28,108291.84,16293,NA
1935,84,49425.26,89709.16,14114,NA
1935,85,41036.25,73618.88,12079,NA
1935,86,33624.1,59629.81,10202,NA
1935,87,27107.39,47530.49,8489,NA
1935,88,21462.85,37213.32,6950,NA
1935,89,16687.18,28620.14,5592,NA
1935,90,12780.06,21664.55,4425,NA
1935,91,9682.9,16223.32,3451,NA
1935,92,7254.67,12032.18,2656,NA
1935,93,5408.41,8888.15,2022,NA
1935,94,4013.31,6547.72,1529,NA
1935,95,2943.25,4780.69,1136,NA
1935,96,2154.85,3476.75,821,NA
1935,97,1594.06,2533.34,581,NA
1935,98,1185.16,1847.92,403,NA
1935,99,877.96,1351.42,274,NA
1935,100,626.58,967.82,182,NA
1935,101,441.09,676.35,119,NA
1935,102,307.15,461.65,75,NA
1935,103,204.77,305.18,47,NA
1935,104,134.33,199.11,29,NA
1935,105,86.74,126.88,17,NA
1935,106,55.63,79.84,10,NA
1935,107,34.93,49.4,6,NA
1935,108,21.16,29.71,3,NA
1935,109,12.76,17.92,2,NA
1935,110,16.26,20.1,2,NA
1936,0,957679.06,1953777.5,96082,NA
1936,1,956321.7,1938301.28,94319,NA
1936,2,990376.7,2002058.17,93754,NA
1936,3,1023386.08,2069331.47,93445,NA
1936,4,1049663.18,2122039.66,93220,NA
1936,5,1103389.41,2243787.36,93038,NA
1936,6,1118968.51,2276123.9,92885,NA
1936,7,1131897.59,2307392.8,92750,NA
1936,8,1153429.86,2354187.26,92631,NA
1936,9,1176576.8,2396159.1,92522,NA
1936,10,1194204.09,2425030.58,92421,NA
1936,11,1211910.03,2453215.24,92322,NA
1936,12,1225910.36,2474027.49,92221,51.57
1936,13,1236864.12,2489855.56,92112,447.93
1936,14,1242056.99,2495029.09,91990,2444.86
1936,15,1231680.17,2468821.46,91850,9018.29
1936,16,1213049.32,2424426.25,91688,25375.02
1936,17,1194936.08,2380778.03,91506,47785.09
1936,18,1179972.95,2344602.55,91302,81489.92
1936,19,1170276.51,2320619.73,91080,106137.74
1936,20,1164588.77,2306286.1,90841,124380.09
1936,21,1159289.63,2293671.88,90586,134187.71
1936,22,1152493.33,2278488.89,90319,137373.7
1936,23,1143275.13,2258763.89,90038,138830.05
1936,24,1130632.52,2232484.09,89747,133689.53
1936,25,1115023.45,2200647.4,89445,128193.83
1936,26,1098121.85,2166696.47,89133,122404.17
1936,27,1080721.55,2132403.92,88814,110135.47
1936,28,1062880.88,2097983.5,88491,110180.19
1936,29,1045030.88,2064149.08,88165,96139.65
1936,30,1027559.45,2031415.87,87838,92728.94
1936,31,1010400.47,1999576.98,87510,72007.16
1936,32,993346.61,1968255.98,87175,72307.94
1936,33,976070.37,1936836.38,86829,62130.85
1936,34,958166.71,1904639.57,86465,55424.11
1936,35,939623.5,1871676.9,86079,52517.23
1936,36,920442.99,1837842.94,85668,51851.7
1936,37,901653.47,1805033.96,85234,36110.61
1936,38,886365.44,1779456.6,84779,36856.46
1936,39,876955,1765811.92,84308,29143.43
1936,40,871969.52,1761071.47,83827,24143.34
1936,41,868473.91,1759216.28,83337,15372.63
1936,42,863838.58,1754936.01,82835,14164.53
1936,43,854167.74,1740629.02,82318,9266.62
1936,44,836462.14,1710520.99,81779,5683.94
1936,45,812474.32,1667906.2,81210,3403.11
1936,46,786107.75,1620388.07,80604,1724.77
1936,47,759566.15,1571948.38,79957,786.52
1936,48,733824.31,1523640.78,79266,493.39
1936,49,709427.01,1475756.93,78529,242.57
1936,50,685776.52,1427389.52,77742,81.18
1936,51,661799.79,1377343.91,76906,21.3
1936,52,637466.3,1326095.83,76021,27.4
1936,53,613862.43,1276028.51,75088,16.23
1936,54,592087.5,1229497.32,74112,16.23
1936,55,572106.31,1186417.68,73097,3
1936,56,553088.28,1144998.48,72041,NA
1936,57,534268.03,1103699.98,70937,NA
1936,58,515061.94,1061520.37,69775,NA
1936,59,495102.9,1017937.38,68543,NA
1936,60,474586.39,973440.24,67229,NA
1936,61,454009.25,928918.26,65824,NA
1936,62,433653.95,884926.76,64320,NA
1936,63,413455.24,841616.5,62715,NA
1936,64,393065.16,798525.19,61000,NA
1936,65,372218.33,755083.75,59170,NA
1936,66,351232,711612.33,57226,NA
1936,67,330430.9,668450.2,55177,NA
